Team,Q1_Games,Q1_NetEff,Q2_Games,Q2_NetEff,Q3_Games,Q3_NetEff,Q4_Games,Q4_NetEff,AdjNetEff
Vermont Catamounts,2,19.62,0,0.0,1,26.17,7,4.38,9.61
SIU Edwardsville Cougars,0,0.0,2,-3.62,0,0.0,6,1.95,0.55
North Florida Ospreys,3,-25.1,3,-17.77,3,2.72,2,24.25,-6.54
Bethel (TN) Wildcats,0,0.0,0,0.0,1,-27.16,1,-27.51,-27.34
Loyola Maryland Greyhounds,3,-8.23,0,0.0,2,7.55,5,2.29,0.19
American University Eagles,3,-11.14,1,7.3,2,-3.98,1,-6.92,-5.86
Lipscomb Bisons,3,-29.68,0,0.0,4,8.8,2,-1.29,-6.27
Duke Blue Devils,3,17.72,2,15.96,2,27.6,1,56.63,24.62
Grambling Tigers,2,-16.08,0,0.0,2,-10.62,6,6.66,-1.35
Southern Miss Golden Eagles,4,-4.38,0,0.0,2,-0.63,5,17.32,6.17
Detroit Mercy Titans,0,0.0,1,-29.71,6,2.4,2,-11.1,-4.17
Virginia-Lynchburg Dragons,0,0.0,1,-44.19,2,-46.5,6,-37.96,-40.55
UNC Greensboro Spartans,2,-9.75,3,17.11,1,-11.1,3,8.86,5.26
SUNY-Canton Roos,0,0.0,0,0.0,0,0.0,1,-33.84,-33.84
Arizona Wildcats,2,16.11,1,0.89,3,16.53,0,0.0,13.79
Texas State Bobcats,1,-40.95,0,0.0,4,-5.73,3,2.39,-7.09
Troy Trojans,1,31.57,3,3.83,4,-0.59,2,9.23,5.92
Duquesne Dukes,1,12.32,1,9.42,2,3.32,2,-2.76,3.81
Cal State Bakersfield Roadrunners,0,0.0,3,5.04,3,-13.1,2,-12.61,-6.18
UC Davis Aggies,1,10.2,3,22.01,3,-11.68,0,0.0,5.88
Seattle U Redhawks,2,0.37,2,3.73,1,23.94,2,1.56,5.04
UTSA Roadrunners,4,-12.55,2,-20.47,1,4.86,2,-13.12,-12.5
California Golden Bears,1,-20.84,2,22.78,0,0.0,0,0.0,8.24
Cornell Big Red,3,12.24,1,15.77,1,12.31,4,35.17,22.83
UAlbany Great Danes,2,8.7,2,-5.64,3,-6.47,6,-4.14,-2.93
Florida International Panthers,2,6.36,1,-26.75,1,-6.16,0,0.0,-5.05
Vanderbilt Commodores,2,37.69,2,31.25,1,43.28,2,-5.53,24.3
Dominican (IL) Dominican,0,0.0,0,0.0,2,-29.33,0,0.0,-29.33
Milwaukee Panthers,3,-4.31,5,-3.95,1,19.98,0,0.0,-1.41
Arkansas-Pine Bluff Golden Lions,5,-7.69,0,0.0,5,-20.08,1,-13.9,-13.89
UC Irvine Anteaters,1,-6.51,0,0.0,3,8.45,4,3.27,3.99
Marist Red Foxes,0,0.0,0,0.0,2,-13.89,4,-0.45,-4.93
Xavier Musketeers,2,-6.08,0,0.0,3,7.48,1,-16.99,-1.12
Marshall Thundering Herd,1,-1.15,1,0.55,5,1.71,0,0.0,1.13
Monmouth Hawks,0,0.0,0,0.0,3,-9.61,6,8.05,2.16
Gardner-Webb Runnin' Bulldogs,5,-14.82,4,-17.26,2,-31.12,1,-2.57,-17.33
South Carolina State Bulldogs,5,-19.09,1,0.95,5,-14.17,1,-23.82,-15.77
North Carolina A&T Aggies,1,-6.99,2,12.16,1,-15.29,4,2.8,1.66
Merrimack Warriors,1,-25.53,4,-6.54,3,-19.37,3,7.71,-7.88
Embry-Riddle (AZ) Eagles,0,0.0,0,0.0,0,0.0,1,5.84,5.84
South Dakota Coyotes,3,4.63,3,-2.35,1,-4.73,1,12.76,1.86
Stonehill Skyhawks,1,-27.62,1,-0.86,4,-20.74,5,-12.16,-15.66
DePaul Blue Demons,2,-5.3,2,-10.5,0,0.0,1,11.82,-3.95
New Mexico Lobos,2,24.3,1,-15.18,2,1.06,1,-31.02,0.75
Dayton Flyers,2,2.17,0,0.0,1,8.31,3,-9.78,-2.78
Baylor Bears,0,0.0,2,-8.06,2,22.59,1,-7.37,4.34
Nicholls Colonels,3,-14.86,0,0.0,4,15.91,3,-2.32,1.21
Fairleigh Dickinson Knights,2,-31.84,2,-30.09,1,-24.13,5,10.98,-9.31
Boston College Eagles,1,8.96,1,1.79,1,-22.52,3,-7.2,-5.56
Cleveland State Vikings,3,-15.3,2,22.94,3,5.69,1,13.82,3.43
College Of Biblical Studies Ambassadors,1,-50.64,1,-36.9,3,-49.87,4,-62.14,-53.97
UT Rio Grande Valley Vaqueros,2,6.75,1,-17.91,1,1.24,3,13.28,5.24
Drexel Dragons,0,0.0,1,-20.75,4,-3.21,3,-9.83,-7.88
Charleston Cougars,3,7.8,2,12.35,1,6.35,2,6.48,8.43
Lafayette Leopards,1,-18.23,1,-19.8,2,1.2,4,11.64,1.36
Wagner Seahawks,1,-8.37,0,0.0,4,-6.23,3,13.76,1.0
Fordham Rams,0,0.0,1,-24.36,1,-12.99,3,11.72,-0.44
Southwestern Christian Eagles,0,0.0,1,-13.77,0,0.0,2,-28.23,-23.41
Rice Owls,2,-23.8,1,-1.42,3,-13.22,2,4.2,-10.04
Jacksonville State Gamecocks,1,-0.11,1,40.63,2,-30.47,2,16.06,1.95
Georgia State Panthers,0,0.0,2,-17.52,6,-13.69,4,-16.46,-15.25
East Texas A&M Lions,3,-18.86,2,-20.43,1,-31.5,5,3.3,-10.22
SE Louisiana Lions,1,0.84,2,-10.98,3,-8.32,4,-10.77,-8.91
Jarvis Christian Bulldogs,0,0.0,1,-31.76,0,0.0,1,-26.59,-29.18
Abilene Christian Wildcats,2,-19.22,1,-8.66,2,-0.38,4,-7.14,-8.49
Richmond Spiders,2,7.29,0,0.0,4,20.0,0,0.0,15.77
Eureka Red Devils,0,0.0,0,0.0,0,0.0,2,-39.32,-39.32
Alcorn State Braves,4,-20.41,1,-38.21,3,-15.16,5,-1.97,-13.47
Florida State Seminoles,2,-21.2,2,-17.42,1,-13.77,1,14.42,-12.76
Houston Christian Huskies,3,0.37,2,-19.34,1,-2.82,3,30.87,5.8
New Orleans Privateers,2,-33.4,2,-11.36,3,16.17,5,-2.68,-4.53
San Francisco State Gators,0,0.0,1,-11.73,0,0.0,1,-55.45,-33.59
UC Santa Barbara Gauchos,0,0.0,2,-10.64,3,4.51,3,0.64,-0.73
Bethune-Cookman Wildcats,7,-16.01,1,14.33,1,19.63,2,-10.34,-8.98
Miami Hurricanes,1,-12.01,0,0.0,4,10.89,0,0.0,6.31
Maryland Eastern Shore Hawks,3,-36.47,2,-33.53,4,-8.67,5,-11.01,-19.01
Georgetown Hoyas,2,-12.16,0,0.0,2,-20.76,2,7.3,-8.54
Green Bay Phoenix,3,5.5,2,-15.39,3,6.58,3,18.09,5.43
Mid-Atlantic Christian Mustangs,0,0.0,0,0.0,2,-28.76,2,-39.64,-34.2
Pfeiffer Falcons,1,-23.46,0,0.0,1,-44.07,0,0.0,-33.76
Mercyhurst Lakers,2,-17.14,2,-30.86,3,-12.67,3,-0.35,-13.5
San Diego State Aztecs,3,-23.39,0,0.0,2,31.41,1,20.33,2.16
Nevada Wolf Pack,1,18.18,1,12.29,3,11.53,1,-1.07,10.66
Salve Regina Seahawks,0,0.0,0,0.0,0,0.0,1,-38.75,-38.75
New Haven Chargers,2,-22.83,1,-4.27,4,-23.07,3,-1.28,-14.6
Texas Southern Tigers,4,-15.08,1,-39.15,1,-11.73,2,-11.5,-16.77
Minnesota Golden Gophers,3,3.56,0,0.0,3,14.55,0,0.0,9.06
Reinhardt Eagles,0,0.0,0,0.0,2,-54.95,0,0.0,-54.95
Idaho Vandals,1,-9.21,0,0.0,4,15.29,4,-3.76,4.1
Cal Poly Mustangs,2,9.41,1,-34.99,5,0.41,2,-2.73,-1.96
Louisiana Ragin' Cajuns,1,-24.27,3,-30.15,1,-28.41,4,-8.34,-19.61
South Alabama Jaguars,0,0.0,1,-4.27,4,10.64,7,8.5,8.15
East Tennessee State Buccaneers,1,-5.96,1,-10.36,1,2.65,3,8.56,2.0
UC Riverside Highlanders,3,-17.72,1,-3.3,2,-4.54,4,9.2,-2.87
Ole Miss Rebels,3,-3.37,1,-33.63,1,12.47,2,27.57,3.41
Iowa Hawkeyes,1,-2.21,2,-12.79,1,15.57,1,-3.01,-3.05
Eastern Kentucky Colonels,3,-8.02,3,4.36,1,-16.78,2,3.13,-2.39
Rutgers Scarlet Knights,3,-20.32,0,0.0,3,-5.52,0,0.0,-12.92
Seton Hall Pirates,1,16.17,3,6.85,0,0.0,2,8.17,8.84
Washington State Cougars,0,0.0,2,-13.24,4,-5.08,3,6.93,-2.89
Chaminade Silverswords,0,0.0,0,0.0,0,0.0,1,2.94,2.94
Alabama A&M Bulldogs,1,-28.56,1,-25.65,2,-8.2,3,0.92,-9.69
Indiana Hoosiers,2,-13.01,1,-0.08,0,0.0,2,24.53,4.59
Mayville St Comets,0,0.0,0,0.0,0,0.0,1,-38.5,-38.5
North Dakota Fighting Hawks,1,-15.58,3,-25.79,2,1.42,3,-5.82,-11.95
Buffalo Bulls,0,0.0,0,0.0,2,11.16,6,17.72,16.08
Tennessee Volunteers,2,-0.64,0,0.0,3,3.67,1,25.32,5.84
Fresno State Bulldogs,1,-34.32,0,0.0,1,-3.41,3,15.15,1.55
Pittsburgh Panthers,2,0.46,3,-2.75,0,0.0,0,0.0,-1.47
Southern Illinois Salukis,4,-1.09,1,9.81,3,-1.24,3,-9.34,-2.39
Delaware Blue Hens,2,6.08,1,-5.37,1,18.69,3,-13.55,-2.17
North Texas Mean Green,1,-38.84,0,0.0,2,-14.76,3,-20.07,-21.43
Truett-McConnell Bears,0,0.0,0,0.0,0,0.0,1,-14.33,-14.33
Presbyterian Blue Hose,2,-25.48,2,-13.15,1,-1.12,5,-0.96,-8.32
Piedmont Lions,0,0.0,0,0.0,1,-2.32,0,0.0,-2.32
Charleston Southern Buccaneers,3,-5.14,2,-12.94,1,-23.29,5,11.15,-0.8
UConn Huskies,2,16.84,1,26.07,3,2.64,1,24.38,13.15
Providence Friars,1,8.36,3,8.12,3,3.76,0,0.0,6.29
Purdue Boilermakers,2,28.75,2,28.03,0,0.0,2,17.71,24.83
Tennessee Wesleyan Bulldogs,0,0.0,0,0.0,1,-32.65,1,-16.46,-24.55
Chattanooga Mocs,3,-3.04,1,8.89,2,3.73,3,12.59,5.0
Florida Atlantic Owls,4,-3.39,0,0.0,5,8.14,0,0.0,3.02
Tulane Green Wave,1,8.64,1,-19.87,0,0.0,3,18.99,9.15
Texas A&M Aggies,3,-3.24,0,0.0,1,17.19,1,17.89,5.07
Lindenwood Lions,3,-30.82,0,0.0,2,0.46,4,4.29,-8.26
Illinois State Redbirds,1,19.27,2,6.51,4,12.11,2,15.88,12.5
Oklahoma State Cowboys,3,5.7,0,0.0,0,0.0,1,28.49,11.39
Liberty Flames,1,-39.27,3,23.19,1,7.14,2,12.25,8.85
NC State Wolfpack,2,17.09,0,0.0,1,12.93,3,17.65,16.68
UL Monroe Warhawks,1,12.51,3,-6.5,1,-15.46,4,3.73,-0.84
Toledo Rockets,1,-0.4,3,13.65,2,-3.26,2,7.26,6.07
San Francisco Dons,2,1.88,0,0.0,4,3.62,2,-5.17,0.99
Colorado Buffaloes,1,42.12,0,0.0,4,10.87,0,0.0,17.12
Adams State Grizzlies,0,0.0,0,0.0,1,-31.89,0,0.0,-31.89
Colgate Raiders,2,-1.62,2,-6.55,1,16.32,6,18.72,10.21
San José State Spartans,2,-5.25,3,-2.15,1,6.06,1,5.35,-0.79
Utah State Aggies,0,0.0,3,1.59,2,28.55,3,32.9,20.07
North Carolina Tar Heels,3,9.29,0,0.0,2,7.5,0,0.0,8.57
San Diego Toreros,1,12.72,2,-12.79,1,-31.56,3,-6.74,-9.23
Long Beach State Beach,1,-27.13,2,-28.04,2,-3.1,2,-7.35,-14.88
Texas A&M-San Antonio Jaguars,0,0.0,0,0.0,0,0.0,2,-38.72,-38.72
Lamar Cardinals,1,1.17,2,-7.42,2,-14.19,4,-2.05,-5.59
Portland State Vikings,1,1.38,4,7.06,3,-6.94,0,0.0,1.1
UNLV Rebels,1,-1.89,2,5.21,0,0.0,3,-1.26,0.79
UCF Knights,2,3.12,0,0.0,1,22.01,0,0.0,9.42
Iowa State Cyclones,2,9.7,1,14.74,3,27.99,0,0.0,19.69
St. John's Red Storm,3,17.78,2,3.74,1,38.34,0,0.0,16.53
Denver Pioneers,5,15.72,3,5.91,3,-2.88,0,0.0,7.97
Charlotte 49ers,0,0.0,3,7.61,2,-2.98,1,10.43,4.55
Spring Hill Badgers,0,0.0,0,0.0,1,-44.21,0,0.0,-44.21
UMass Lowell River Hawks,2,-29.48,2,14.14,4,-3.1,3,10.86,-0.96
Saint Joseph's Hawks,1,17.16,2,-17.85,3,-6.81,1,-9.15,-6.87
VCU Rams,4,8.59,1,3.53,1,26.43,0,0.0,10.72
Boise State Broncos,1,-7.17,4,-2.55,1,15.37,1,42.73,5.82
George Washington Revolutionaries,3,32.96,2,17.8,1,-1.09,2,30.15,24.21
Middle Tennessee Blue Raiders,4,0.79,1,-4.84,0,0.0,1,11.17,1.58
Princeton Tigers,2,-11.07,2,21.2,2,-16.48,4,-12.28,-6.18
Akron Zips,4,16.44,0,0.0,1,23.42,2,39.81,24.11
RIT Tigers,1,-6.81,0,0.0,0,0.0,1,-21.87,-14.34
Utah Utes,1,1.49,1,2.16,3,2.76,1,-13.41,-0.25
Ohio State Buckeyes,1,26.44,1,0.31,2,-2.17,1,29.56,10.39
LSU Tigers,2,18.06,1,-23.44,1,8.89,2,23.97,11.58
Drake Bulldogs,2,-5.57,0,0.0,2,-5.4,3,15.49,3.5
Georgia Tech Yellow Jackets,2,6.05,0,0.0,1,21.35,1,-19.14,3.58
Hofstra Pride,2,2.43,1,6.35,3,20.76,6,9.89,11.07
Trinity (FL) Tigers,0,0.0,0,0.0,0,0.0,1,-68.26,-68.26
Jacksonville Dolphins,4,-13.43,1,-21.58,4,-8.45,3,4.11,-8.07
East Carolina Pirates,3,-13.96,1,-21.39,2,-36.17,0,0.0,-22.6
Missouri Tigers,2,-10.41,0,0.0,2,-3.97,1,30.92,0.43
Notre Dame Fighting Irish,1,-3.19,3,4.38,2,-13.84,1,3.82,-1.99
Cleary University Cougars,1,-47.24,0,0.0,0,0.0,2,-39.22,-41.89
Eastern Michigan Eagles,2,-23.89,2,-7.6,2,-2.09,3,11.9,-3.49
Kansas State Wildcats,2,-17.12,1,8.2,2,22.2,0,0.0,3.67
Arizona State Sun Devils,4,9.49,2,12.87,1,21.84,1,51.29,17.1
UT Arlington Mavericks,0,0.0,3,-11.76,3,-12.98,3,24.98,0.08
Arkansas State Red Wolves,2,-17.7,1,-22.47,3,14.9,3,19.95,5.19
Samford Bulldogs,2,-12.84,2,-9.69,2,9.39,4,20.68,5.64
Trinity Christian (IL) Trolls,1,-54.43,0,0.0,0,0.0,0,0.0,-54.43
Miami (OH) RedHawks,1,28.23,1,31.22,2,20.76,3,18.09,22.18
Saint John's (MN) Johnnies,1,-20.83,0,0.0,0,0.0,0,0.0,-20.83
Villanova Wildcats,2,-19.35,1,24.3,2,6.49,1,17.2,2.63
Michigan State Spartans,0,0.0,4,1.54,1,13.06,1,23.82,7.17
Oklahoma Sooners,1,-19.25,2,26.0,3,-3.31,1,17.89,5.82
Mississippi State Bulldogs,2,10.18,1,-1.86,3,8.7,1,12.68,8.18
UNC Asheville Bulldogs,1,-14.45,2,-3.87,4,1.15,1,25.5,0.99
Central Michigan Chippewas,2,-7.06,1,-11.5,2,-20.97,5,0.64,-6.43
Northern Illinois Huskies,2,6.11,1,5.2,4,-22.3,1,12.53,-7.41
Evergreen State Geoducks,0,0.0,1,-31.17,1,-20.23,0,0.0,-25.7
Southern Jaguars,4,-9.31,0,0.0,1,0.88,5,-2.91,-5.09
California Baptist Lancers,3,-14.56,0,0.0,3,2.37,4,5.21,-1.57
Canisius Golden Griffins,2,-29.94,1,-32.9,1,12.74,4,-23.84,-21.93
BYU Cougars,1,6.27,4,4.94,1,12.48,0,0.0,6.42
Bradley Braves,3,3.8,2,-6.97,1,-6.69,2,25.83,5.3
Florida Gulf Coast Eagles,2,1.31,2,-7.95,1,8.52,2,15.43,3.73
North Dakota State Bison,0,0.0,2,16.51,4,1.85,4,9.32,7.77
Creighton Bluejays,4,-1.42,1,-27.44,2,-6.3,1,41.32,-0.55
MIT Engineers,0,0.0,0,0.0,0,0.0,1,-41.4,-41.4
Sacred Heart Pioneers,2,-3.2,3,-9.01,1,12.1,5,-2.73,-3.18
Rosemont Ravens,0,0.0,0,0.0,1,-95.95,0,0.0,-95.95
Navy Midshipmen,1,-20.09,2,-14.18,0,0.0,5,8.84,-0.53
UMBC Retrievers,1,-33.41,2,-5.46,1,19.74,3,25.23,7.3
Alabama State Hornets,2,6.2,1,23.91,4,-11.69,7,-1.06,-1.28
Puget Sound Loggers,0,0.0,0,0.0,1,-51.95,0,0.0,-51.95
Bucknell Bison,3,-13.06,2,-27.88,2,-32.33,4,-8.35,-17.54
Rider Broncs,3,-14.07,1,-57.26,1,-20.08,3,-18.91,-22.03
Mercer Bears,4,-7.11,3,0.44,1,-0.69,1,37.85,1.11
Furman Paladins,2,13.79,2,6.16,2,-4.17,1,9.44,5.86
Mount St. Mary's Mountaineers,1,-20.4,1,-27.21,1,-10.49,8,-7.26,-10.56
Stetson Hatters,3,-26.51,0,0.0,2,-22.59,5,-4.41,-14.68
South Carolina Gamecocks,1,28.28,3,0.32,0,0.0,0,0.0,7.31
Evansville Purple Aces,3,-31.08,0,0.0,4,-8.3,1,5.75,-15.09
Wofford Terriers,3,-4.62,2,11.0,0,0.0,4,22.34,10.83
Western Carolina Catamounts,3,-11.51,2,7.09,3,-11.36,1,-30.13,-9.39
Colorado Christian Cougars,2,-5.02,0,0.0,0,0.0,0,0.0,-5.02
Northern Colorado Bears,3,16.57,1,-3.31,4,7.74,2,13.48,10.43
Siena Saints,1,-17.87,1,-10.08,2,-7.98,6,4.84,-1.49
Idaho State Bengals,2,2.17,2,-16.27,2,14.43,3,10.39,3.54
Iona Gaels,1,-6.41,2,4.33,1,8.53,6,-3.65,-1.11
Tennessee Southern Firehawks,0,0.0,0,0.0,0,0.0,1,-24.8,-24.8
North Alabama Lions,0,0.0,2,-9.7,4,-11.6,2,12.56,-5.09
Houston Cougars,3,16.63,0,0.0,2,-0.04,2,6.87,9.08
Memphis Tigers,2,-2.31,0,0.0,3,-1.71,1,11.26,0.25
Northwestern Oklahoma State Rangers,0,0.0,0,0.0,1,-28.49,0,0.0,-28.49
Missouri State Bears,1,17.39,1,7.41,0,0.0,3,-20.99,-7.63
Belmont Bruins,0,0.0,0,0.0,5,33.07,4,16.34,25.63
Oral Roberts Golden Eagles,2,-15.28,3,-13.64,3,14.63,2,-11.48,-5.06
Kentucky Wildcats,3,-6.03,1,2.88,1,-14.32,0,0.0,-5.91
Maine Black Bears,2,-31.5,1,14.93,3,-7.45,6,-2.21,-6.98
Pepperdine Waves,1,-15.81,1,-23.14,2,-6.95,3,-7.28,-10.67
Pacific Tigers,1,-30.19,2,-14.89,3,6.67,4,14.03,1.62
Sam Houston Bearkats,2,1.05,2,34.35,4,1.1,2,7.28,8.98
Kansas City Roos,4,-7.24,2,-32.21,2,2.51,2,-16.34,-12.1
