Team,Total_Games,Overall_NetEff,Q1_Games,Q1_NetEff,Q1_NetEff_Shrunk,Q1_Confidence,Q2_Games,Q2_NetEff,Q2_NetEff_Shrunk,Q2_Confidence,Q3_Games,Q3_NetEff,Q3_NetEff_Shrunk,Q3_Confidence,Q4_Games,Q4_NetEff,Q4_NetEff_Shrunk,Q4_Confidence
Central Connecticut Blue Devils,4,16.46,0,,,LOW,0,,,LOW,0,,,LOW,4,16.46,16.46,MEDIUM
Quinnipiac Bobcats,7,-6.45,0,,,LOW,0,,,LOW,2,,,LOW,5,0.8,-2.42,HIGH
Fairfield Stags,6,-0.17,0,,,LOW,0,,,LOW,1,,,LOW,5,0.75,0.34,HIGH
NJIT Highlanders,5,-5.18,0,,,LOW,0,,,LOW,0,,,LOW,5,-5.18,-5.18,HIGH
Brown Bears,6,-14.39,0,,,LOW,0,,,LOW,1,,,LOW,5,-9.41,-11.62,HIGH
UIC Flames,4,-7.7,0,,,LOW,0,,,LOW,2,,,LOW,2,,,LOW
McNeese Cowboys,5,28.21,0,,,LOW,0,,,LOW,1,,,LOW,4,35.7,31.96,MEDIUM
Santa Clara Broncos,6,13.94,0,,,LOW,1,,,LOW,1,,,LOW,4,9.28,11.61,MEDIUM
Tarleton State Texans,6,4.03,0,,,LOW,0,,,LOW,2,,,LOW,4,4.36,4.2,MEDIUM
Portland Pilots,9,4.28,0,,,LOW,1,,,LOW,4,-9.05,-2.38,MEDIUM,4,12.7,8.49,MEDIUM
Stanford Cardinal,8,9.23,1,,,LOW,1,,,LOW,2,,,LOW,4,24.81,17.02,MEDIUM
George Mason Patriots,9,14.16,0,,,LOW,0,,,LOW,2,,,LOW,7,13.9,14.0,HIGH
La Salle Explorers,5,0.89,1,,,LOW,0,,,LOW,1,,,LOW,3,5.99,3.07,MEDIUM
Kent State Golden Flashes,6,20.8,0,,,LOW,0,,,LOW,2,,,LOW,4,24.11,22.46,MEDIUM
Massachusetts Minutemen,9,3.07,0,,,LOW,0,,,LOW,3,-6.0,-0.82,MEDIUM,6,7.6,5.79,HIGH
Colorado State Rams,6,16.77,0,,,LOW,1,,,LOW,2,,,LOW,3,26.82,21.08,MEDIUM
South Florida Bulls,6,17.8,1,,,LOW,0,,,LOW,1,,,LOW,4,24.08,20.94,MEDIUM
Ball State Cardinals,5,-2.38,0,,,LOW,0,,,LOW,1,,,LOW,4,-5.24,-3.81,MEDIUM
Indiana State Sycamores,5,-2.73,0,,,LOW,1,,,LOW,1,,,LOW,3,-8.74,-5.31,MEDIUM
VMI Keydets,4,2.51,0,,,LOW,0,,,LOW,0,,,LOW,4,2.51,2.51,MEDIUM
Southern Indiana Screaming Eagles,4,-14.3,0,,,LOW,0,,,LOW,0,,,LOW,4,-14.3,-14.3,MEDIUM
Queens University Royals,4,33.45,0,,,LOW,0,,,LOW,0,,,LOW,4,33.45,33.45,MEDIUM
Winthrop Eagles,4,13.55,0,,,LOW,0,,,LOW,1,,,LOW,3,7.63,11.01,MEDIUM
Georgia Bulldogs,9,26.6,0,,,LOW,1,,,LOW,1,,,LOW,7,29.56,28.48,HIGH
Florida Gators,6,12.64,1,,,LOW,0,,,LOW,1,,,LOW,4,20.69,16.67,MEDIUM
Montana State Bobcats,5,17.14,0,,,LOW,0,,,LOW,2,,,LOW,3,14.69,16.09,MEDIUM
Northwestern Wildcats,9,20.46,0,,,LOW,2,,,LOW,1,,,LOW,6,25.07,23.22,HIGH
Wisconsin Badgers,10,19.48,1,,,LOW,2,,,LOW,1,,,LOW,6,25.5,23.09,HIGH
Louisiana Tech Bulldogs,6,1.04,0,,,LOW,0,,,LOW,1,,,LOW,5,4.86,3.16,HIGH
Kennesaw State Owls,7,25.45,0,,,LOW,1,,,LOW,2,,,LOW,4,22.73,24.09,MEDIUM
Youngstown State Penguins,5,1.06,0,,,LOW,0,,,LOW,1,,,LOW,4,-1.68,-0.31,MEDIUM
UT Martin Skyhawks,4,-6.35,0,,,LOW,0,,,LOW,0,,,LOW,4,-6.35,-6.35,MEDIUM
St. Thomas-Minnesota Tommies,4,27.28,0,,,LOW,0,,,LOW,0,,,LOW,4,27.28,27.28,MEDIUM
Southeast Missouri State Redhawks,5,2.23,0,,,LOW,0,,,LOW,2,,,LOW,3,13.67,7.13,MEDIUM
South Carolina Upstate Spartans,7,10.82,0,,,LOW,0,,,LOW,1,,,LOW,6,6.89,8.46,HIGH
Nebraska Cornhuskers,10,6.87,1,,,LOW,2,,,LOW,1,,,LOW,6,8.25,7.7,HIGH
Western Michigan Broncos,5,3.4,0,,,LOW,0,,,LOW,0,,,LOW,5,3.4,3.4,HIGH
Central Arkansas Bears,5,19.27,0,,,LOW,0,,,LOW,0,,,LOW,5,19.27,19.27,HIGH
Auburn Tigers,7,30.51,0,,,LOW,2,,,LOW,0,,,LOW,5,35.22,33.13,HIGH
Wright State Raiders,6,9.56,0,,,LOW,0,,,LOW,2,,,LOW,4,8.95,9.26,MEDIUM
Norfolk State Spartans,3,7.84,0,,,LOW,0,,,LOW,2,,,LOW,1,,,LOW
Murray State Racers,8,23.08,0,,,LOW,0,,,LOW,2,,,LOW,6,25.88,24.76,HIGH
Cal State Fullerton Titans,6,7.35,0,,,LOW,0,,,LOW,2,,,LOW,4,21.2,14.28,MEDIUM
Hawai'i Rainbow Warriors,9,10.16,0,,,LOW,0,,,LOW,1,,,LOW,8,11.91,11.33,HIGH
Maryland Terrapins,8,-2.85,2,,,LOW,0,,,LOW,2,,,LOW,4,11.12,4.13,MEDIUM
Vermont Catamounts,5,9.99,0,,,LOW,0,,,LOW,1,,,LOW,4,8.26,9.12,MEDIUM
SIU Edwardsville Cougars,6,-9.72,0,,,LOW,0,,,LOW,0,,,LOW,6,-9.72,-9.72,HIGH
North Florida Ospreys,3,-5.9,0,,,LOW,0,,,LOW,1,,,LOW,2,,,LOW
Loyola Maryland Greyhounds,4,-1.11,0,,,LOW,0,,,LOW,0,,,LOW,4,-1.11,-1.11,MEDIUM
American University Eagles,6,7.33,0,,,LOW,0,,,LOW,0,,,LOW,6,7.33,7.33,HIGH
Lipscomb Bisons,5,16.39,0,,,LOW,0,,,LOW,0,,,LOW,5,16.39,16.39,HIGH
Duke Blue Devils,7,22.78,1,,,LOW,0,,,LOW,2,,,LOW,4,36.34,29.56,MEDIUM
Grambling Tigers,3,13.05,0,,,LOW,0,,,LOW,0,,,LOW,3,13.05,13.05,MEDIUM
Southern Miss Golden Eagles,4,-3.52,0,,,LOW,0,,,LOW,1,,,LOW,3,-8.81,-5.79,MEDIUM
Western Kentucky Hilltoppers,6,6.4,0,,,LOW,1,,,LOW,1,,,LOW,4,2.86,4.63,MEDIUM
Arizona Wildcats,9,30.74,0,,,LOW,2,,,LOW,0,,,LOW,7,32.1,31.6,HIGH
Texas State Bobcats,8,1.23,0,,,LOW,0,,,LOW,1,,,LOW,7,3.57,2.72,HIGH
Troy Trojans,4,6.89,0,,,LOW,0,,,LOW,1,,,LOW,3,14.89,10.32,MEDIUM
Duquesne Dukes,8,16.39,0,,,LOW,1,,,LOW,1,,,LOW,6,20.03,18.57,HIGH
Cal State Bakersfield Roadrunners,6,-10.0,0,,,LOW,0,,,LOW,2,,,LOW,4,-8.0,-9.0,MEDIUM
UC Davis Aggies,6,12.72,0,,,LOW,0,,,LOW,2,,,LOW,4,13.62,13.17,MEDIUM
Seattle U Redhawks,7,-0.64,0,,,LOW,1,,,LOW,2,,,LOW,4,11.78,5.57,MEDIUM
UTSA Roadrunners,5,-14.3,0,,,LOW,0,,,LOW,1,,,LOW,4,-13.41,-13.86,MEDIUM
California Golden Bears,11,11.8,1,,,LOW,1,,,LOW,3,7.57,9.99,MEDIUM,6,18.93,16.08,HIGH
New Mexico State Aggies,4,15.63,0,,,LOW,1,,,LOW,1,,,LOW,2,,,LOW
Florida International Panthers,5,16.59,0,,,LOW,0,,,LOW,2,,,LOW,3,15.99,16.33,MEDIUM
Vanderbilt Commodores,7,28.76,1,,,LOW,1,,,LOW,1,,,LOW,4,27.36,28.06,MEDIUM
UC Irvine Anteaters,5,6.77,0,,,LOW,1,,,LOW,1,,,LOW,3,27.4,15.61,MEDIUM
Marist Red Foxes,6,-6.72,0,,,LOW,0,,,LOW,0,,,LOW,6,-6.72,-6.72,HIGH
Xavier Musketeers,9,-1.06,1,,,LOW,3,-14.94,-7.01,MEDIUM,1,,,LOW,4,15.15,7.04,MEDIUM
Monmouth Hawks,6,-2.61,0,,,LOW,0,,,LOW,2,,,LOW,4,-3.85,-3.23,MEDIUM
Gardner-Webb Runnin' Bulldogs,3,-11.22,0,,,LOW,0,,,LOW,0,,,LOW,3,-11.22,-11.22,MEDIUM
High Point Panthers,9,26.01,0,,,LOW,0,,,LOW,1,,,LOW,8,28.81,27.88,HIGH
Merrimack Warriors,5,10.06,0,,,LOW,0,,,LOW,0,,,LOW,5,10.06,10.06,HIGH
South Dakota Coyotes,4,5.05,0,,,LOW,0,,,LOW,0,,,LOW,4,5.05,5.05,MEDIUM
Stonehill Skyhawks,3,-17.22,0,,,LOW,0,,,LOW,0,,,LOW,3,-17.22,-17.22,MEDIUM
DePaul Blue Demons,11,6.03,1,,,LOW,1,,,LOW,2,,,LOW,7,13.03,10.48,HIGH
New Mexico Lobos,7,17.44,0,,,LOW,1,,,LOW,2,,,LOW,4,19.52,18.48,MEDIUM
North Carolina Central Eagles,3,5.01,0,,,LOW,0,,,LOW,0,,,LOW,3,5.01,5.01,MEDIUM
Dayton Flyers,9,15.89,0,,,LOW,1,,,LOW,2,,,LOW,6,21.04,18.98,HIGH
Baylor Bears,7,27.39,1,,,LOW,1,,,LOW,0,,,LOW,5,42.08,35.55,HIGH
Boston College Eagles,9,-1.24,0,,,LOW,2,,,LOW,0,,,LOW,7,-1.3,-1.28,HIGH
Cleveland State Vikings,4,2.34,0,,,LOW,0,,,LOW,0,,,LOW,4,2.34,2.34,MEDIUM
Drexel Dragons,7,4.65,0,,,LOW,0,,,LOW,1,,,LOW,6,4.3,4.44,HIGH
Charleston Cougars,6,1.77,0,,,LOW,1,,,LOW,1,,,LOW,4,4.63,3.2,MEDIUM
Lafayette Leopards,7,-3.96,0,,,LOW,0,,,LOW,0,,,LOW,7,-3.96,-3.96,HIGH
Fordham Rams,9,2.77,0,,,LOW,0,,,LOW,2,,,LOW,7,5.34,4.41,HIGH
Rice Owls,7,3.03,0,,,LOW,0,,,LOW,3,-2.43,0.69,MEDIUM,4,7.11,5.07,MEDIUM
Jacksonville State Gamecocks,5,6.5,0,,,LOW,0,,,LOW,0,,,LOW,5,6.5,6.5,HIGH
Georgia State Panthers,3,-9.38,0,,,LOW,0,,,LOW,0,,,LOW,3,-9.38,-9.38,MEDIUM
East Texas A&M Lions,3,-19.09,0,,,LOW,0,,,LOW,1,,,LOW,2,,,LOW
SE Louisiana Lions,4,-3.02,0,,,LOW,0,,,LOW,1,,,LOW,3,2.27,-0.75,MEDIUM
Richmond Spiders,10,14.38,0,,,LOW,1,,,LOW,2,,,LOW,7,15.82,15.3,HIGH
Florida State Seminoles,8,16.57,2,,,LOW,0,,,LOW,0,,,LOW,6,19.93,18.59,HIGH
North Carolina A&T Aggies,4,7.61,0,,,LOW,0,,,LOW,2,,,LOW,2,,,LOW
Houston Christian Huskies,3,-9.61,0,,,LOW,1,,,LOW,0,,,LOW,2,,,LOW
UC Santa Barbara Gauchos,6,29.41,0,,,LOW,0,,,LOW,1,,,LOW,5,30.14,29.82,HIGH
Miami Hurricanes,9,28.36,0,,,LOW,0,,,LOW,2,,,LOW,7,30.75,29.88,HIGH
Georgetown Hoyas,9,16.89,1,,,LOW,1,,,LOW,1,,,LOW,6,21.01,19.36,HIGH
Green Bay Phoenix,3,27.78,0,,,LOW,0,,,LOW,0,,,LOW,3,27.78,27.78,MEDIUM
Davidson Wildcats,7,13.35,1,,,LOW,0,,,LOW,4,10.81,12.08,MEDIUM,2,,,LOW
Mercyhurst Lakers,4,9.15,0,,,LOW,0,,,LOW,0,,,LOW,4,9.15,9.15,MEDIUM
San Diego State Aztecs,6,11.67,0,,,LOW,1,,,LOW,2,,,LOW,3,10.39,11.12,MEDIUM
Nevada Wolf Pack,9,7.47,0,,,LOW,2,,,LOW,4,8.77,8.12,MEDIUM,3,3.01,5.56,MEDIUM
Texas Southern Tigers,3,-3.84,0,,,LOW,0,,,LOW,1,,,LOW,2,,,LOW
Minnesota Golden Gophers,9,11.88,2,,,LOW,0,,,LOW,0,,,LOW,7,13.36,12.82,HIGH
Idaho Vandals,3,17.81,0,,,LOW,0,,,LOW,0,,,LOW,3,17.81,17.81,MEDIUM
Cal Poly Mustangs,3,-5.93,0,,,LOW,0,,,LOW,1,,,LOW,2,,,LOW
Louisiana Ragin' Cajuns,6,-10.79,0,,,LOW,0,,,LOW,0,,,LOW,6,-10.79,-10.79,HIGH
New Haven Chargers,3,-31.71,0,,,LOW,0,,,LOW,2,,,LOW,1,,,LOW
East Tennessee State Buccaneers,7,15.53,0,,,LOW,0,,,LOW,1,,,LOW,6,17.79,16.89,HIGH
UC Riverside Highlanders,3,-6.35,0,,,LOW,0,,,LOW,1,,,LOW,2,,,LOW
Ole Miss Rebels,7,10.93,1,,,LOW,1,,,LOW,1,,,LOW,4,11.92,11.43,MEDIUM
Eastern Kentucky Colonels,5,-0.07,0,,,LOW,0,,,LOW,2,,,LOW,3,5.82,2.45,MEDIUM
Rutgers Scarlet Knights,9,1.42,1,,,LOW,1,,,LOW,1,,,LOW,6,0.28,0.74,HIGH
Seton Hall Pirates,9,-0.54,1,,,LOW,1,,,LOW,1,,,LOW,6,5.98,3.37,HIGH
Alabama A&M Bulldogs,6,-3.54,0,,,LOW,0,,,LOW,0,,,LOW,6,-3.54,-3.54,HIGH
Indiana Hoosiers,9,28.24,0,,,LOW,2,,,LOW,1,,,LOW,6,23.76,25.55,HIGH
Buffalo Bulls,5,26.45,0,,,LOW,0,,,LOW,1,,,LOW,4,32.8,29.62,MEDIUM
Tennessee Volunteers,8,20.7,1,,,LOW,1,,,LOW,1,,,LOW,5,22.51,21.7,HIGH
Fresno State Bulldogs,9,-3.5,1,,,LOW,0,,,LOW,4,4.57,0.54,MEDIUM,4,-3.43,-3.47,MEDIUM
Pittsburgh Panthers,10,10.83,0,,,LOW,3,-1.95,5.35,MEDIUM,2,,,LOW,5,19.75,15.78,HIGH
Southern Illinois Salukis,4,17.42,0,,,LOW,0,,,LOW,1,,,LOW,3,24.46,20.44,MEDIUM
Delaware Blue Hens,7,-6.46,0,,,LOW,0,,,LOW,0,,,LOW,7,-6.46,-6.46,HIGH
North Texas Mean Green,7,3.27,0,,,LOW,2,,,LOW,1,,,LOW,4,9.17,6.22,MEDIUM
UConn Huskies,9,15.61,1,,,LOW,2,,,LOW,2,,,LOW,4,18.93,17.27,MEDIUM
Providence Friars,7,19.27,1,,,LOW,1,,,LOW,1,,,LOW,4,23.9,21.59,MEDIUM
Purdue Boilermakers,9,22.34,1,,,LOW,2,,,LOW,4,25.35,23.84,MEDIUM,2,,,LOW
Florida Atlantic Owls,7,20.21,1,,,LOW,0,,,LOW,3,4.22,13.36,MEDIUM,3,29.69,24.27,MEDIUM
Tulane Green Wave,8,2.29,0,,,LOW,1,,,LOW,1,,,LOW,6,6.48,4.8,HIGH
Texas A&M Aggies,9,31.93,0,,,LOW,1,,,LOW,0,,,LOW,8,36.73,35.13,HIGH
Lindenwood Lions,3,14.28,0,,,LOW,0,,,LOW,0,,,LOW,3,14.28,14.28,MEDIUM
Illinois State Redbirds,5,16.58,0,,,LOW,0,,,LOW,0,,,LOW,5,16.58,16.58,HIGH
Oklahoma State Cowboys,10,13.91,0,,,LOW,1,,,LOW,2,,,LOW,7,11.6,12.44,HIGH
Liberty Flames,6,30.69,0,,,LOW,0,,,LOW,1,,,LOW,5,31.43,31.1,HIGH
NC State Wolfpack,10,17.25,2,,,LOW,2,,,LOW,2,,,LOW,4,39.6,28.43,MEDIUM
Chattanooga Mocs,4,-4.93,0,,,LOW,0,,,LOW,1,,,LOW,3,-1.3,-3.38,MEDIUM
San Francisco Dons,8,19.47,0,,,LOW,0,,,LOW,1,,,LOW,7,20.64,20.21,HIGH
Colorado Buffaloes,8,19.74,0,,,LOW,1,,,LOW,3,6.93,14.25,MEDIUM,4,29.67,24.7,MEDIUM
Colgate Raiders,4,4.22,0,,,LOW,0,,,LOW,0,,,LOW,4,4.22,4.22,MEDIUM
San José State Spartans,8,6.05,0,,,LOW,1,,,LOW,3,-12.86,-2.06,MEDIUM,4,29.08,17.56,MEDIUM
Utah State Aggies,3,44.29,0,,,LOW,0,,,LOW,1,,,LOW,2,,,LOW
South Carolina State Bulldogs,3,-11.71,0,,,LOW,0,,,LOW,0,,,LOW,3,-11.71,-11.71,MEDIUM
North Carolina Tar Heels,9,18.82,1,,,LOW,0,,,LOW,2,,,LOW,6,22.17,20.83,HIGH
San Diego Toreros,7,3.27,1,,,LOW,1,,,LOW,1,,,LOW,4,3.48,3.37,MEDIUM
Long Beach State Beach,5,10.4,0,,,LOW,0,,,LOW,2,,,LOW,3,10.63,10.5,MEDIUM
UNLV Rebels,6,13.3,0,,,LOW,0,,,LOW,1,,,LOW,5,11.02,12.03,HIGH
UCF Knights,10,15.46,2,,,LOW,0,,,LOW,5,12.77,13.97,HIGH,3,17.99,16.55,MEDIUM
Iowa State Cyclones,8,30.38,1,,,LOW,1,,,LOW,0,,,LOW,6,35.74,33.6,HIGH
St. John's Red Storm,8,13.44,1,,,LOW,1,,,LOW,3,17.3,15.09,MEDIUM,3,20.02,16.26,MEDIUM
Denver Pioneers,4,16.57,0,,,LOW,0,,,LOW,0,,,LOW,4,16.57,16.57,MEDIUM
UT Rio Grande Valley Vaqueros,5,-18.7,0,,,LOW,0,,,LOW,1,,,LOW,4,-16.91,-17.81,MEDIUM
Charlotte 49ers,7,8.18,1,,,LOW,0,,,LOW,3,6.4,7.42,MEDIUM,3,23.3,14.66,MEDIUM
UMass Lowell River Hawks,3,3.57,0,,,LOW,0,,,LOW,0,,,LOW,3,3.57,3.57,MEDIUM
Saint Joseph's Hawks,7,-0.83,0,,,LOW,0,,,LOW,2,,,LOW,5,-1.15,-1.01,HIGH
VCU Rams,10,19.2,0,,,LOW,2,,,LOW,1,,,LOW,7,29.48,25.74,HIGH
Boise State Broncos,5,0.34,0,,,LOW,1,,,LOW,4,4.23,2.29,MEDIUM,0,,,LOW
Butler Bulldogs,9,15.27,2,,,LOW,2,,,LOW,0,,,LOW,5,28.64,22.7,HIGH
George Washington Revolutionaries,7,13.17,0,,,LOW,0,,,LOW,1,,,LOW,6,11.78,12.34,HIGH
Middle Tennessee Blue Raiders,6,3.7,0,,,LOW,1,,,LOW,2,,,LOW,3,18.19,9.91,MEDIUM
Princeton Tigers,4,-4.7,0,,,LOW,0,,,LOW,0,,,LOW,4,-4.7,-4.7,MEDIUM
Akron Zips,6,27.57,0,,,LOW,0,,,LOW,0,,,LOW,6,27.57,27.57,HIGH
Utah Utes,8,17.19,1,,,LOW,0,,,LOW,2,,,LOW,5,23.32,20.59,HIGH
UL Monroe Warhawks,8,-3.45,0,,,LOW,0,,,LOW,1,,,LOW,7,-5.4,-4.69,HIGH
Ohio State Buckeyes,9,26.58,2,,,LOW,1,,,LOW,0,,,LOW,6,40.29,34.8,HIGH
LSU Tigers,8,28.78,0,,,LOW,1,,,LOW,0,,,LOW,7,35.1,32.8,HIGH
Drake Bulldogs,7,9.9,0,,,LOW,0,,,LOW,3,-0.73,5.35,MEDIUM,4,17.87,13.89,MEDIUM
Georgia Tech Yellow Jackets,12,-0.38,0,,,LOW,2,,,LOW,2,,,LOW,8,0.48,0.19,HIGH
East Carolina Pirates,8,0.02,0,,,LOW,0,,,LOW,0,,,LOW,8,0.02,0.02,HIGH
Missouri Tigers,9,27.71,1,,,LOW,0,,,LOW,1,,,LOW,7,28.49,28.21,HIGH
Notre Dame Fighting Irish,7,15.57,0,,,LOW,1,,,LOW,0,,,LOW,6,17.41,16.67,HIGH
Kansas State Wildcats,9,17.46,1,,,LOW,2,,,LOW,2,,,LOW,4,37.89,27.67,MEDIUM
Arizona State Sun Devils,7,1.79,1,,,LOW,0,,,LOW,1,,,LOW,5,4.76,3.44,HIGH
UT Arlington Mavericks,4,-9.27,0,,,LOW,0,,,LOW,2,,,LOW,2,,,LOW
Arkansas State Red Wolves,5,0.39,0,,,LOW,0,,,LOW,3,4.54,2.17,MEDIUM,2,,,LOW
Villanova Wildcats,8,20.63,0,,,LOW,1,,,LOW,4,15.77,18.2,MEDIUM,3,33.32,26.07,MEDIUM
Michigan State Spartans,10,10.77,3,-6.1,3.54,MEDIUM,2,,,LOW,0,,,LOW,5,20.79,16.34,HIGH
Oklahoma Sooners,6,32.5,0,,,LOW,0,,,LOW,0,,,LOW,6,32.5,32.5,HIGH
Mississippi State Bulldogs,7,4.56,0,,,LOW,2,,,LOW,1,,,LOW,4,10.51,7.53,MEDIUM
Central Michigan Chippewas,4,-4.14,0,,,LOW,0,,,LOW,0,,,LOW,4,-4.14,-4.14,MEDIUM
Northern Illinois Huskies,4,-12.97,0,,,LOW,0,,,LOW,0,,,LOW,4,-12.97,-12.97,MEDIUM
Eastern Michigan Eagles,6,3.99,0,,,LOW,0,,,LOW,1,,,LOW,5,-1.69,0.83,HIGH
Southern Jaguars,3,17.85,0,,,LOW,0,,,LOW,0,,,LOW,3,17.85,17.85,MEDIUM
California Baptist Lancers,6,3.98,0,,,LOW,0,,,LOW,0,,,LOW,6,3.98,3.98,HIGH
Binghamton Bearcats,5,-2.34,0,,,LOW,0,,,LOW,0,,,LOW,5,-2.34,-2.34,HIGH
Canisius Golden Griffins,6,5.44,0,,,LOW,0,,,LOW,0,,,LOW,6,5.44,5.44,HIGH
North Dakota Fighting Hawks,7,4.02,0,,,LOW,0,,,LOW,1,,,LOW,6,0.5,1.91,HIGH
BYU Cougars,9,32.04,0,,,LOW,1,,,LOW,3,28.51,30.53,MEDIUM,5,35.11,33.74,HIGH
Toledo Rockets,5,9.21,0,,,LOW,0,,,LOW,1,,,LOW,4,14.83,12.02,MEDIUM
Northern Arizona Lumberjacks,4,5.03,0,,,LOW,0,,,LOW,0,,,LOW,4,5.03,5.03,MEDIUM
Presbyterian Blue Hose,3,10.67,0,,,LOW,0,,,LOW,0,,,LOW,3,10.67,10.67,MEDIUM
Florida Gulf Coast Eagles,7,10.7,0,,,LOW,0,,,LOW,1,,,LOW,6,12.24,11.63,HIGH
North Dakota State Bison,5,4.3,0,,,LOW,0,,,LOW,1,,,LOW,4,2.69,3.49,MEDIUM
Creighton Bluejays,8,15.12,0,,,LOW,2,,,LOW,1,,,LOW,5,20.11,17.89,HIGH
Sacred Heart Pioneers,4,-1.0,0,,,LOW,0,,,LOW,0,,,LOW,4,-1.0,-1.0,MEDIUM
UMBC Retrievers,5,4.14,0,,,LOW,1,,,LOW,0,,,LOW,4,-1.3,1.42,MEDIUM
Navy Midshipmen,6,7.96,0,,,LOW,0,,,LOW,1,,,LOW,5,13.32,10.94,HIGH
Bucknell Bison,5,-10.67,0,,,LOW,0,,,LOW,1,,,LOW,4,-11.05,-10.86,MEDIUM
Rider Broncs,4,-22.4,0,,,LOW,0,,,LOW,0,,,LOW,4,-22.4,-22.4,MEDIUM
Mercer Bears,4,22.94,0,,,LOW,0,,,LOW,1,,,LOW,3,19.78,21.58,MEDIUM
Furman Paladins,6,9.49,0,,,LOW,0,,,LOW,2,,,LOW,4,18.62,14.05,MEDIUM
Mount St. Mary's Mountaineers,4,-3.97,0,,,LOW,0,,,LOW,0,,,LOW,4,-3.97,-3.97,MEDIUM
Stetson Hatters,4,17.62,0,,,LOW,0,,,LOW,2,,,LOW,2,,,LOW
South Carolina Gamecocks,9,13.42,1,,,LOW,1,,,LOW,0,,,LOW,7,15.77,14.92,HIGH
Evansville Purple Aces,6,-6.84,0,,,LOW,1,,,LOW,3,-2.03,-4.78,MEDIUM,2,,,LOW
Wofford Terriers,5,3.59,0,,,LOW,0,,,LOW,1,,,LOW,4,10.85,7.22,MEDIUM
Western Carolina Catamounts,3,-1.42,0,,,LOW,0,,,LOW,0,,,LOW,3,-1.42,-1.42,MEDIUM
Siena Saints,5,11.58,0,,,LOW,0,,,LOW,0,,,LOW,5,11.58,11.58,HIGH
Iona Gaels,6,1.15,0,,,LOW,0,,,LOW,2,,,LOW,4,5.79,3.47,MEDIUM
