Team,AdjRank,TotalGames,TotalWins,Q1_Record,Q1_Games,Q1_WinPct,Q1_NetEff,Q2_Record,Q2_Games,Q2_WinPct,Q2_NetEff,Q3_Record,Q3_Games,Q3_WinPct,Q3_NetEff,Q4_Record,Q4_Games,Q4_WinPct,Q4_NetEff
Duke Blue Devils,17.0,14,13,0-0,0,0.0,0.0,0-0,0,0.0,0.0,2-0,2,1.0,6.8,11-1,12,0.92,28.1
Illinois Fighting Illini,18.0,13,11,1-0,1,1.0,11.7,0-0,0,0.0,0.0,1-0,1,1.0,12.1,9-2,11,0.82,29.3
Purdue Boilermakers,19.0,4,4,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,11.2,3-0,3,1.0,28.9
Texas A&M Aggies,20.0,2,1,0-0,0,0.0,0.0,0-1,1,0.0,-14.8,0-0,0,0.0,0.0,1-0,1,1.0,32.8
Miami (OH) RedHawks,21.0,9,9,0-0,0,0.0,0.0,1-0,1,1.0,10.1,1-0,1,1.0,19.5,7-0,7,1.0,36.3
West Virginia Mountaineers,22.0,1,0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-14.6
Stephen F. Austin Lumberjacks,23.0,6,5,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-7.4,5-0,5,1.0,28.5
NC State Wolfpack,24.0,11,8,0-0,0,0.0,0.0,0-0,0,0.0,0.0,2-0,2,1.0,20.2,6-3,9,0.67,19.6
Indiana Hoosiers,25.0,12,8,0-2,2,0.0,-15.3,1-0,1,1.0,32.2,2-0,2,1.0,18.1,5-2,7,0.71,22.4
UConn Huskies,26.0,2,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,2-0,2,1.0,50.8
LSU Tigers,27.0,11,7,0-1,1,0.0,-4.5,0-1,1,0.0,-17.1,0-0,0,0.0,0.0,7-2,9,0.78,19.9
Illinois State Redbirds,28.0,9,4,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-1,2,0.5,0.7,3-4,7,0.43,6.6
Marist Red Foxes,29.0,8,5,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-2,2,0.0,-11.7,5-1,6,0.83,19.2
New Mexico Lobos,30.0,8,7,0-0,0,0.0,0.0,3-1,4,0.75,15.3,1-0,1,1.0,19.4,3-0,3,1.0,35.1
Buffalo Bulls,31.0,14,11,0-0,0,0.0,0.0,0-0,0,0.0,0.0,3-1,4,0.75,4.4,8-2,10,0.8,14.5
East Tennessee State Buccaneers,32.0,14,11,0-0,0,0.0,0.0,0-0,0,0.0,0.0,2-0,2,1.0,25.1,9-3,12,0.75,18.7
TCU Horned Frogs,33.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,13.6
North Carolina Tar Heels,34.0,6,5,0-0,0,0.0,0.0,0-1,1,0.0,-20.3,0-0,0,0.0,0.0,5-0,5,1.0,14.3
Navy Midshipmen,35.0,8,3,0-1,1,0.0,-43.4,0-0,0,0.0,0.0,0-2,2,0.0,-27.7,3-2,5,0.6,23.2
Nebraska Cornhuskers,36.0,9,9,1-0,1,1.0,4.6,0-0,0,0.0,0.0,1-0,1,1.0,9.5,7-0,7,1.0,27.2
Saint Mary's Gaels,37.0,7,6,0-0,0,0.0,0.0,0-0,0,0.0,0.0,2-0,2,1.0,33.6,4-1,5,0.8,13.0
Belmont Bruins,38.0,17,14,1-0,1,1.0,22.4,0-1,1,0.0,-11.9,4-1,5,0.8,16.2,9-1,10,0.9,21.3
George Mason Patriots,39.0,14,13,0-1,1,0.0,-18.2,1-0,1,1.0,16.8,4-0,4,1.0,14.2,8-0,8,1.0,22.5
Murray State Racers,40.0,7,6,0-0,0,0.0,0.0,0-1,1,0.0,-13.3,1-0,1,1.0,8.4,5-0,5,1.0,12.2
Missouri Tigers,41.0,7,5,0-0,0,0.0,0.0,0-2,2,0.0,-8.4,0-0,0,0.0,0.0,5-0,5,1.0,31.4
Tennessee Volunteers,42.0,1,1,0-0,0,0.0,0.0,1-0,1,1.0,17.3,0-0,0,0.0,0.0,0-0,0,0.0,0.0
Michigan State Spartans,43.0,8,7,0-0,0,0.0,0.0,0-0,0,0.0,0.0,3-0,3,1.0,21.9,4-1,5,0.8,19.8
UNC Wilmington Seahawks,44.0,3,3,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,4.6,2-0,2,1.0,41.0
Wyoming Cowboys,45.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,30.3
Seton Hall Pirates,46.0,4,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-10.3,2-1,3,0.67,9.2
Tulsa Golden Hurricane,47.0,3,3,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,1.3,2-0,2,1.0,57.8
Oklahoma Sooners,48.0,7,6,0-1,1,0.0,-11.4,0-0,0,0.0,0.0,2-0,2,1.0,23.8,4-0,4,1.0,36.7
Bowling Green Falcons,49.0,16,11,0-1,1,0.0,-11.8,1-2,3,0.33,-5.4,1-2,3,0.33,1.6,9-0,9,1.0,39.1
UCF Knights,50.0,2,1,0-1,1,0.0,-18.4,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,31.6
Clemson Tigers,51.0,13,12,0-0,0,0.0,0.0,3-0,3,1.0,11.5,1-1,2,0.5,0.0,8-0,8,1.0,26.1
Kentucky Wildcats,52.0,11,7,0-0,0,0.0,0.0,0-1,1,0.0,-7.6,0-0,0,0.0,0.0,7-3,10,0.7,26.8
Wichita State Shockers,53.0,2,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,14.6,1-0,1,1.0,41.5
Richmond Spiders,54.0,7,6,0-0,0,0.0,0.0,0-0,0,0.0,0.0,2-0,2,1.0,8.8,4-1,5,0.8,22.4
George Washington Revolutionaries,55.0,12,10,1-0,1,1.0,19.7,0-0,0,0.0,0.0,2-0,2,1.0,31.8,7-2,9,0.78,23.9
Texas Longhorns,56.0,3,1,0-1,1,0.0,-26.4,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-1,2,0.5,22.5
Siena Saints,57.0,3,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-2,2,0.0,-17.1,1-0,1,1.0,15.3
UCLA Bruins,58.0,3,2,0-0,0,0.0,0.0,1-0,1,1.0,2.6,0-0,0,0.0,0.0,1-1,2,0.5,8.7
St. John's Red Storm,59.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,33.5,0-0,0,0.0,0.0
Utah Valley Wolverines,60.0,4,4,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,23.8,3-0,3,1.0,66.1
Minnesota Golden Gophers,61.0,8,2,0-1,1,0.0,-38.9,1-0,1,1.0,10.1,0-1,1,0.0,-1.7,1-4,5,0.2,-5.5
Arkansas Razorbacks,62.0,16,12,0-0,0,0.0,0.0,1-0,1,1.0,9.1,2-1,3,0.67,-8.2,9-3,12,0.75,21.6
Ohio State Buckeyes,63.0,7,5,0-0,0,0.0,0.0,0-1,1,0.0,-11.3,1-1,2,0.5,7.4,4-0,4,1.0,22.0
North Dakota State Bison,64.0,12,8,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-2,2,0.0,-9.0,8-2,10,0.8,18.7
Akron Zips,65.0,16,12,1-1,2,0.5,4.9,1-0,1,1.0,28.3,0-0,0,0.0,0.0,10-3,13,0.77,23.8
Colorado Buffaloes,66.0,13,9,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-2,3,0.33,-0.4,8-2,10,0.8,11.7
Virginia Tech Hokies,67.0,2,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-4.2,1-0,1,1.0,30.2
Rhode Island Rams,68.0,8,6,0-0,0,0.0,0.0,1-0,1,1.0,11.5,0-0,0,0.0,0.0,5-2,7,0.71,15.8
Santa Clara Broncos,69.0,3,3,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,3-0,3,1.0,23.4
Dayton Flyers,70.0,12,10,0-0,0,0.0,0.0,2-0,2,1.0,13.7,3-1,4,0.75,5.7,5-1,6,0.83,13.8
Grand Canyon Lopes,71.0,12,8,1-1,2,0.5,-1.3,0-0,0,0.0,0.0,0-1,1,0.0,-13.3,7-2,9,0.78,15.8
UT Martin Skyhawks,72.0,5,5,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,5-0,5,1.0,39.5
Northern Iowa Panthers,73.0,9,6,0-1,1,0.0,-7.5,0-1,1,0.0,-6.5,1-0,1,1.0,1.4,5-1,6,0.83,23.8
South Carolina Gamecocks,74.0,7,5,0-0,0,0.0,0.0,0-1,1,0.0,-3.8,0-0,0,0.0,0.0,5-1,6,0.83,22.4
Oklahoma State Cowboys,75.0,8,7,1-0,1,1.0,26.2,0-0,0,0.0,0.0,1-0,1,1.0,9.5,5-1,6,0.83,13.6
St. Thomas-Minnesota Tommies,76.0,7,6,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-1,2,0.5,7.9,5-0,5,1.0,34.6
SIU Edwardsville Cougars,77.0,9,7,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,7-2,9,0.78,20.1
Northwestern Wildcats,78.0,7,2,0-0,0,0.0,0.0,0-2,2,0.0,-6.4,0-0,0,0.0,0.0,2-3,5,0.4,-0.3
Fordham Rams,79.0,14,9,0-0,0,0.0,0.0,0-2,2,0.0,-14.4,1-1,2,0.5,-0.7,8-2,10,0.8,24.3
Yale Bulldogs,80.0,2,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,2-0,2,1.0,46.9
South Florida Bulls,81.0,7,5,2-0,2,1.0,19.6,0-0,0,0.0,0.0,1-1,2,0.5,11.9,2-1,3,0.67,20.5
Temple Owls,82.0,4,2,0-0,0,0.0,0.0,0-1,1,0.0,-31.3,0-0,0,0.0,0.0,2-1,3,0.67,21.5
UC San Diego Tritons,83.0,2,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,2-0,2,1.0,34.0
Villanova Wildcats,84.0,2,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,2-0,2,1.0,18.6
Syracuse Orange,85.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,2.6
McNeese Cowboys,86.0,10,8,2-1,3,0.67,-3.8,0-0,0,0.0,0.0,0-0,0,0.0,0.0,6-1,7,0.86,28.0
California Golden Bears,87.0,15,11,0-1,1,0.0,-4.7,0-0,0,0.0,0.0,4-1,5,0.8,8.9,7-2,9,0.78,12.3
Butler Bulldogs,88.0,15,10,0-0,0,0.0,0.0,0-2,2,0.0,-11.9,2-2,4,0.5,1.9,8-1,9,0.89,22.7
Baylor Bears,89.0,14,9,0-1,1,0.0,-9.3,0-0,0,0.0,0.0,1-1,2,0.5,1.4,8-3,11,0.73,19.0
Florida Gators,90.0,12,9,0-1,1,0.0,-2.8,0-0,0,0.0,0.0,0-0,0,0.0,0.0,9-2,11,0.82,21.9
Washington Huskies,91.0,1,1,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,17.9,0-0,0,0.0,0.0
Pacific Tigers,92.0,8,6,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,6-2,8,0.75,22.6
Hofstra Pride,93.0,13,10,0-1,1,0.0,-4.9,1-1,2,0.5,-2.9,4-1,5,0.8,8.0,5-0,5,1.0,37.5
California Baptist Lancers,94.0,17,12,0-2,2,0.0,-12.2,0-0,0,0.0,0.0,2-3,5,0.4,-2.8,10-0,10,1.0,14.9
Kennesaw State Owls,95.0,9,5,0-0,0,0.0,0.0,0-1,1,0.0,-11.1,0-1,1,0.0,-26.2,5-2,7,0.71,32.0
San Francisco Dons,96.0,2,2,0-0,0,0.0,0.0,1-0,1,1.0,11.9,0-0,0,0.0,0.0,1-0,1,1.0,57.2
VCU Rams,97.0,3,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,2-1,3,0.67,13.6
SMU Mustangs,98.0,4,3,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,3-1,4,0.75,8.3
Florida Atlantic Owls,99.0,15,9,0-2,2,0.0,-11.3,1-2,3,0.33,-9.0,1-1,2,0.5,13.4,7-1,8,0.88,26.7
Massachusetts Minutemen,100.0,5,4,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,4-1,5,0.8,25.0
South Alabama Jaguars,101.0,8,5,0-0,0,0.0,0.0,0-1,1,0.0,-11.5,1-2,3,0.33,-5.5,4-0,4,1.0,31.8
Liberty Flames,102.0,8,6,0-1,1,0.0,-70.4,0-0,0,0.0,0.0,2-0,2,1.0,16.7,4-1,5,0.8,37.2
San Diego State Aztecs,103.0,4,3,0-0,0,0.0,0.0,1-0,1,1.0,14.0,0-1,1,0.0,-1.2,2-0,2,1.0,45.9
Columbia Lions,104.0,14,11,0-0,0,0.0,0.0,1-0,1,1.0,38.4,2-1,3,0.67,-8.7,8-2,10,0.8,25.5
Austin Peay Governors,105.0,14,9,0-2,2,0.0,-14.6,1-2,3,0.33,-8.0,0-1,1,0.0,-16.0,8-0,8,1.0,28.3
UAB Blazers,106.0,4,3,0-0,0,0.0,0.0,0-1,1,0.0,-7.5,0-0,0,0.0,0.0,3-0,3,1.0,37.3
Cincinnati Bearcats,107.0,15,7,0-1,1,0.0,-2.7,1-0,1,1.0,18.9,0-0,0,0.0,0.0,6-7,13,0.46,7.7
Georgia Southern Eagles,108.0,13,9,0-0,0,0.0,0.0,0-2,2,0.0,-12.0,0-0,0,0.0,0.0,9-2,11,0.82,12.2
Winthrop Eagles,109.0,4,4,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,4-0,4,1.0,49.9
Bradley Braves,110.0,17,12,0-1,1,0.0,-27.2,1-2,3,0.33,-7.2,1-0,1,1.0,8.8,10-2,12,0.83,17.8
Notre Dame Fighting Irish,111.0,5,3,1-1,2,0.5,0.7,0-0,0,0.0,0.0,1-0,1,1.0,13.8,1-1,2,0.5,1.6
North Carolina A&T Aggies,112.0,9,5,0-1,1,0.0,-24.5,0-1,1,0.0,-11.1,0-0,0,0.0,0.0,5-2,7,0.71,15.8
Georgia Tech Yellow Jackets,113.0,9,6,1-1,2,0.5,0.7,0-0,0,0.0,0.0,1-1,2,0.5,1.4,4-1,5,0.8,8.5
Northern Kentucky Norse,114.0,9,6,0-0,0,0.0,0.0,0-0,0,0.0,0.0,3-0,3,1.0,11.7,3-3,6,0.5,16.1
Duquesne Dukes,115.0,13,7,0-0,0,0.0,0.0,0-2,2,0.0,-9.7,0-3,3,0.0,-10.3,7-1,8,0.88,20.0
Northern Colorado Bears,116.0,10,7,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-7.8,7-2,9,0.78,17.3
Wright State Raiders,117.0,3,2,0-0,0,0.0,0.0,0-1,1,0.0,-1.2,0-0,0,0.0,0.0,2-0,2,1.0,58.0
Harvard Crimson,118.0,8,4,1-1,2,0.5,-18.4,0-1,1,0.0,-8.6,0-1,1,0.0,-7.2,3-1,4,0.75,19.3
Drexel Dragons,119.0,15,8,0-1,1,0.0,-21.8,0-0,0,0.0,0.0,1-3,4,0.25,-9.1,7-3,10,0.7,10.9
Fairfield Stags,120.0,14,9,0-1,1,0.0,-45.2,0-0,0,0.0,0.0,2-2,4,0.5,1.1,7-2,9,0.78,14.6
Nevada Wolf Pack,121.0,11,7,0-1,1,0.0,-23.7,1-0,1,1.0,15.4,4-1,5,0.8,8.2,2-2,4,0.5,0.0
Youngstown State Penguins,122.0,2,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,2-0,2,1.0,57.8
Kansas Jayhawks,123.0,13,9,1-2,3,0.33,-7.6,1-0,1,1.0,4.3,0-0,0,0.0,0.0,7-2,9,0.78,16.9
Seattle U Redhawks,124.0,10,9,0-0,0,0.0,0.0,0-0,0,0.0,0.0,3-0,3,1.0,6.0,6-1,7,0.86,27.0
USC Trojans,125.0,4,3,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-11.2,3-0,3,1.0,30.8
Elon Phoenix,126.0,14,9,0-2,2,0.0,-20.9,2-0,2,1.0,5.0,1-1,2,0.5,9.5,6-2,8,0.75,15.4
Weber State Wildcats,127.0,2,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,2-0,2,1.0,68.4
Kent State Golden Flashes,128.0,9,6,0-0,0,0.0,0.0,2-0,2,1.0,13.4,0-1,1,0.0,-6.8,4-2,6,0.67,13.3
Charleston Southern Buccaneers,129.0,18,11,1-4,5,0.2,-16.1,0-1,1,0.0,-5.3,0-1,1,0.0,-10.0,10-1,11,0.91,25.3
Ole Miss Rebels,130.0,5,3,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,3-2,5,0.6,13.8
Tulane Green Wave,132.0,4,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,2-2,4,0.5,-0.6
New Mexico State Aggies,133.0,9,7,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-0,1,1.0,14.9,6-2,8,0.75,19.4
Texas Tech Red Raiders,134.0,4,4,0-0,0,0.0,0.0,1-0,1,1.0,5.7,1-0,1,1.0,39.3,2-0,2,1.0,23.9
William & Mary Tribe,135.0,2,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,2-0,2,1.0,51.5
Iona Gaels,136.0,11,7,0-1,1,0.0,-86.4,1-0,1,1.0,4.9,1-1,2,0.5,-11.3,5-2,7,0.71,6.9
UC Irvine Anteaters,137.0,5,4,0-1,1,0.0,-9.9,0-0,0,0.0,0.0,1-0,1,1.0,11.7,3-0,3,1.0,56.5
UMBC Retrievers,138.0,3,3,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,3-0,3,1.0,31.7
Georgetown Hoyas,139.0,11,6,0-0,0,0.0,0.0,0-2,2,0.0,-15.5,2-0,2,1.0,12.8,4-3,7,0.57,2.9
Providence Friars,140.0,7,2,1-0,1,1.0,8.0,1-1,2,0.5,9.1,0-0,0,0.0,0.0,0-4,4,0.0,-12.9
Auburn Tigers,141.0,14,9,1-1,2,0.5,5.6,0-0,0,0.0,0.0,1-0,1,1.0,43.4,7-4,11,0.64,12.1
UC Santa Barbara Gauchos,142.0,3,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,2-1,3,0.67,21.9
UT Arlington Mavericks,143.0,4,4,0-0,0,0.0,0.0,1-0,1,1.0,1.4,1-0,1,1.0,16.3,2-0,2,1.0,57.2
Quinnipiac Bobcats,144.0,8,5,0-1,1,0.0,-14.0,0-0,0,0.0,0.0,0-1,1,0.0,-53.5,5-1,6,0.83,13.8
Alabama Crimson Tide,145.0,16,11,0-0,0,0.0,0.0,2-1,3,0.67,7.6,2-0,2,1.0,21.8,7-4,11,0.64,13.5
Kansas State Wildcats,146.0,8,6,0-0,0,0.0,0.0,1-1,2,0.5,-6.9,0-0,0,0.0,0.0,5-1,6,0.83,30.0
Idaho Vandals,147.0,12,7,0-0,0,0.0,0.0,0-2,2,0.0,-17.7,2-0,2,1.0,3.7,5-3,8,0.62,21.0
Vermont Catamounts,148.0,3,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-1,1,0.0,-5.8,2-0,2,1.0,39.1
Pennsylvania Quakers,149.0,6,2,0-0,0,0.0,0.0,0-1,1,0.0,-46.8,0-1,1,0.0,-30.7,2-2,4,0.5,17.4
DePaul Blue Demons,150.0,14,8,1-0,1,1.0,5.9,0-1,1,0.0,-8.1,1-1,2,0.5,3.1,6-4,10,0.6,6.4
Monmouth Hawks,151.0,8,5,0-1,1,0.0,-20.1,0-1,1,0.0,-6.5,1-1,2,0.5,0.7,4-0,4,1.0,16.0
UNLV Rebels,152.0,3,1,0-1,1,0.0,-43.6,0-1,1,0.0,-6.7,0-0,0,0.0,0.0,1-0,1,1.0,43.7
St. Bonaventure Bonnies,153.0,3,2,0-0,0,0.0,0.0,0-1,1,0.0,-9.8,1-0,1,1.0,6.0,1-0,1,1.0,49.9
Samford Bulldogs,154.0,10,6,0-0,0,0.0,0.0,0-2,2,0.0,-30.7,0-0,0,0.0,0.0,6-2,8,0.75,12.9
Colorado State Rams,155.0,14,9,1-2,3,0.33,-22.9,0-0,0,0.0,0.0,1-1,2,0.5,-3.8,7-2,9,0.78,25.5
Oregon Ducks,156.0,9,5,0-1,1,0.0,-18.8,0-0,0,0.0,0.0,0-0,0,0.0,0.0,5-3,8,0.62,12.2
Troy Trojans,157.0,5,3,0-0,0,0.0,0.0,1-1,2,0.5,0.0,0-0,0,0.0,0.0,2-1,3,0.67,40.6
Stanford Cardinal,158.0,4,2,1-0,1,1.0,1.6,0-0,0,0.0,0.0,1-1,2,0.5,10.2,0-1,1,0.0,-22.7
Wofford Terriers,159.0,2,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,2-0,2,1.0,39.6
Arkansas State Red Wolves,160.0,16,11,0-2,2,0.0,-25.7,1-1,2,0.5,-20.5,5-0,5,1.0,15.7,5-2,7,0.71,17.4
Charleston Cougars,161.0,16,11,0-0,0,0.0,0.0,2-2,4,0.5,-2.2,2-0,2,1.0,12.6,7-3,10,0.7,6.6
Louisiana Tech Bulldogs,162.0,8,4,0-0,0,0.0,0.0,0-2,2,0.0,-31.6,0-1,1,0.0,-7.7,4-1,5,0.8,39.7
Idaho State Bengals,163.0,15,7,0-2,2,0.0,-10.4,0-3,3,0.0,-20.0,0-0,0,0.0,0.0,7-3,10,0.7,10.4
Robert Morris Colonials,164.0,9,8,0-0,0,0.0,0.0,0-0,0,0.0,0.0,1-1,2,0.5,-7.5,7-0,7,1.0,24.0
Creighton Bluejays,165.0,15,9,0-2,2,0.0,-19.5,1-1,2,0.5,-10.7,0-1,1,0.0,-11.5,8-2,10,0.8,18.8
Marshall Thundering Herd,166.0,10,6,0-2,2,0.0,-20.2,1-0,1,1.0,8.0,2-1,3,0.67,3.5,3-1,4,0.75,23.2
James Madison Dukes,167.0,10,6,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-2,2,0.0,-13.9,6-2,8,0.75,5.2
App State Mountaineers,168.0,18,10,0-1,1,0.0,-40.1,0-0,0,0.0,0.0,1-4,5,0.2,-14.1,9-3,12,0.75,20.5
Furman Paladins,169.0,14,9,0-1,1,0.0,-24.9,0-0,0,0.0,0.0,1-1,2,0.5,5.8,8-3,11,0.73,14.8
Wake Forest Demon Deacons,170.0,2,2,0-0,0,0.0,0.0,0-0,0,0.0,0.0,0-0,0,0.0,0.0,2-0,2,1.0,32.5
Texas State Bobcats,171.0,6,4,0-0,0,0.0,0.0,0-1,1,0.0,-10.9,0-1,1,0.0,-31.4,4-0,4,1.0,37.8
Radford Highlanders,172.0,14,7,0-1,1,0.0,-40.3,0-3,3,0.0,-16.0,1-0,1,1.0,10.1,6-3,9,0.67,13.7
Hampton Pirates,173.0,13,7,0-2,2,0.0,-33.2,0-0,0,0.0,0.0,0-1,1,0.0,-5.2,7-3,10,0.7,17.4
Sam Houston Bearkats,174.0,8,5,0-0,0,0.0,0.0,1-0,1,1.0,10.3,0-2,2,0.0,-10.2,4-1,5,0.8,35.3
Tarleton State Texans,175.0,7,6,0-0,0,0.0,0.0,0-1,1,0.0,-6.4,1-0,1,1.0,7.0,5-0,5,1.0,31.0
Montana State Bobcats,176.0,10,6,0-1,1,0.0,-4.0,0-0,0,0.0,0.0,2-2,4,0.5,1.0,4-1,5,0.8,40.0
Portland State Vikings,177.0,10,7,0-0,0,0.0,0.0,1-2,3,0.33,-3.4,1-1,2,0.5,-2.4,5-0,5,1.0,39.1
Eastern Michigan Eagles,178.0,12,5,0-0,0,0.0,0.0,0-1,1,0.0,-8.0,1-1,2,0.5,-4.3,4-5,9,0.44,0.5
Mississippi State Bulldogs,179.0,9,6,1-0,1,1.0,3.4,1-0,1,1.0,27.4,0-1,1,0.0,-7.2,4-2,6,0.67,8.6
Saint Peter's Peacocks,180.0,4,2,0-1,1,0.0,-52.4,0-1,1,0.0,-25.0,0-0,0,0.0,0.0,2-0,2,1.0,34.6
Long Island University Sharks,181.0,6,3,0-0,0,0.0,0.0,0-1,1,0.0,-31.6,1-2,3,0.33,3.9,2-0,2,1.0,4.8
Pittsburgh Panthers,182.0,7,1,0-2,2,0.0,-23.6,0-1,1,0.0,-34.2,1-2,3,0.33,-1.9,0-1,1,0.0,-15.2
